zh,en
大角頭帶,Great Horned Headband
毛皮上衣,Fur Raiment
毛皮綁腿,Fur Leggings
光角頭帶,Shining Horned Headband
祭司毛皮上衣,Shaman Furs
祭司綁腿,Shaman Leggings
鬥士頭盔,Duelist Helm
守墓斗篷,Gravekeeper Cloak
鬥士腿甲,Duelist Greaves
守墓斗篷（輕裝）,Gravekeeper Cloak (Altered)
鮮血貴族風帽,Sanguine Noble Hood
鮮血貴族長袍,Sanguine Noble Robe
鮮血貴族腰巾,Sanguine Noble Waistcloth
守衛面具,Guardian Mask
守衛上衣（開花）,Guardian Garb (Full Bloom)
守衛臂甲,Guardian Bracers
守衛腿甲,Guardian Greaves
守衛上衣,Guardian Garb
尊腐騎士頭盔,Cleanrot Helm
尊腐騎士鎧甲,Cleanrot Armor
尊腐騎士臂甲,Cleanrot Gauntlets
尊腐騎士腿甲,Cleanrot Greaves
尊腐騎士頭盔（輕裝）,Cleanrot Helm (Altered)
尊腐騎士鎧甲（輕裝）,Cleanrot Armor (Altered)
火焰習武修士頭盔,Fire Monk Hood
火焰習武修士鎧甲,Fire Monk Armor
火焰習武修士臂甲,Fire Monk Gauntlets
火焰習武修士腿甲,Fire Monk Greaves
黑焰習武修士頭盔,Blackflame Monk Hood
黑焰習武修士鎧甲,Blackflame Monk Armor
黑焰習武修士臂甲,Blackflame Monk Gauntlets
黑焰習武修士腿甲,Blackflame Monk Greaves
火焰主教頭盔,Fire Prelate Helm
火焰主教鎧甲,Fire Prelate Armor
火焰主教臂甲,Fire Prelate Gauntlets
火焰主教腿甲,Fire Prelate Greaves
火焰主教鎧甲（輕裝）,Fire Prelate Armor (Altered)
權貴頭帶,Aristocrat Headband
權貴上衣,Aristocrat Garb
權貴靴子,Aristocrat Boots
權貴上衣（輕裝）,Aristocrat Garb (Altered)
權貴帽子,Aristocrat Hat
權貴大衣,Aristocrat Coat
年邁權貴頭巾,Old Aristocrat Cowl
年邁權貴長袍,Old Aristocrat Gown
年邁權貴短靴,Old Aristocrat Shoes
惡兵頭盔,Vulgar Militia Helm
惡兵鎧甲,Vulgar Militia Armor
惡兵臂甲,Vulgar Militia Gauntlets
惡兵腿甲,Vulgar Militia Greaves
賢者風帽,Sage Hood
賢者長袍,Sage Robe
賢者長褲,Sage Trousers
南瓜頭盔,Pumpkin Helm
艾爾登之王頭冠,Elden Lord Crown
艾爾登之王鎧甲,Elden Lord Armor
艾爾登之王臂甲,Elden Lord Bracers
艾爾登之王腿甲,Elden Lord Greaves
艾爾登之王鎧甲（輕裝）,Elden Lord Armor (Altered)
拉塔恩紅髮頭盔,Radahn's Redmane Helm
拉塔恩獅子鎧甲,Radahn's Lion Armor
拉塔恩臂甲,Radahn's Gauntlets
拉塔恩腿甲,Radahn's Greaves
拉塔恩獅子鎧甲（輕裝）,Radahn's Lion Armor (Altered)
鮮血君王上衣,Lord of Blood's Robe
鮮血君王上衣（輕裝）,Lord of Blood's Robe (Altered)
女王彎月冠,Queen's Crescent Crown
女王長袍,Queen's Robe
女王手環,Queen's Bracelets
女王長褲,Queen's Leggings
神皮使徒風帽,Godskin Apostle Hood
神皮使徒長袍,Godskin Apostle Robe
使徒手環,Godskin Apostle Bracelets
使徒長褲,Godskin Apostle Trousers
神皮貴族風帽,Godskin Noble Hood
神皮貴族長袍,Godskin Noble Robe
貴族手環,Godskin Noble Bracelets
貴族長褲,Godskin Noble Trousers
墮落調香師帽子,Depraved Perfumer Headscarf
墮落調香師長袍,Depraved Perfumer Robe
墮落調香師手套,Depraved Perfumer Gloves
墮落調香師長褲,Depraved Perfumer Trousers
墮落調香師長袍（輕裝）,Depraved Perfumer Robe (Altered)
熔爐斧形盔,Crucible Axe Helm
熔爐斧形鎧,Crucible Axe Armor
熔爐臂甲,Crucible Gauntlets
熔爐腿甲,Crucible Greaves
熔爐樹形盔,Crucible Tree Helm
熔爐樹形鎧,Crucible Tree Armor
熔爐斧形鎧（輕裝）,Crucible Axe Armor (Altered)
熔爐樹形鎧（輕裝）,Crucible Tree Armor (Altered)
盧瑟特輝石頭冠,Lusat's Glintstone Crown
盧瑟特長袍,Lusat's Robe
盧瑟特腕套,Lusat's Manchettes
古老魔法師綁腿,Old Sorcerer's Legwraps
亞茲勒輝石頭冠,Azur's Glintstone Crown
亞茲勒長袍,Azur's Glintstone Robe
亞茲勒腕套,Azur's Manchettes
百智頭盔,All-Knowing Helm
百智鎧甲,All-Knowing Armor
百智臂甲,All-Knowing Gauntlets
百智腿甲,All-Knowing Greaves
百智鎧甲（輕裝）,All-Knowing Armor (Altered)
孿生頭盔,Twinned Helm
孿生鎧甲,Twinned Armor
孿生臂甲,Twinned Gauntlets
孿生腿甲,Twinned Greaves
孿生鎧甲（輕裝）,Twinned Armor (Altered)
孿生腿甲（輕裝）,Twinned Greaves (Altered)
拼接帽子,Ragged Hat
拼接鎧甲,Ragged Armor
拼接手套,Ragged Gloves
拼接腰巾,Ragged Loincloth
拼接帽子（輕裝）,Ragged Hat (Altered)
拼接鎧甲（輕裝）,Ragged Armor (Altered)
預言家眼罩,Prophet Blindfold
柯林長袍,Corhyn's Robe
預言家長褲,Prophet Trousers
預言家長袍（輕裝）,Prophet Robe (Altered)
預言家長袍,Prophet Robe
觀星者風帽,Astrologer Hood
觀星者長袍,Astrologer Robe
觀星者手套,Astrologer Gloves
觀星者長褲,Astrologer Trousers
觀星者長袍（輕裝）,Astrologer Robe (Altered)
萊恩尼爾頭盔,Lionel's Helm
萊恩尼爾鎧甲,Lionel's Armor
萊恩尼爾臂甲,Lionel's Gauntlets
萊恩尼爾腿甲,Lionel's Greaves
萊恩尼爾鎧甲（輕裝）,Lionel's Armor (Altered)
霍斯勞頭盔,Hoslow's Helm
霍斯勞鎧甲,Hoslow's Armor
霍斯勞臂甲,Hoslow's Gauntlets
霍斯勞腿甲,Hoslow's Greaves
狄亞羅斯頭盔,Diallos's Mask
霍斯勞鎧甲（輕裝）,Hoslow's Armor (Altered)
流浪騎士頭盔,Vagabond Knight Helm
流浪騎士鎧甲,Vagabond Knight Armor
流浪騎士臂甲,Vagabond Knight Gauntlets
流浪騎士腿甲,Vagabond Knight Greaves
流浪騎士鎧甲（輕裝）,Vagabond Knight Armor (Altered)
藍布頭巾,Blue Cloth Cowl
藍布上衣,Blue Cloth Vest
劍士臂甲,Warrior Gauntlets
劍士腿甲,Warrior Greaves
白面具,White Mask
戰場醫師白上衣,War Surgeon Gown
戰場醫師手套,War Surgeon Gloves
戰場醫師長褲,War Surgeon Trousers
戰場醫師白上衣（輕裝）,War Surgeon Gown (Altered)
王骸頭盔,Royal Remains Helm
王骸鎧甲,Royal Remains Armor
王骸臂甲,Royal Remains Gauntlets
王骸腿甲,Royal Remains Greaves
勇士額帶,Brave's Cord Circlet
勇士戰袍,Brave's Battlewear
勇士腕套,Brave's Bracer
勇士綁腿,Brave's Legwraps
勇士皮盔,Brave's Leather Helm
勇士戰袍（輕裝）,Brave's Battlewear (Altered)
聚獸頭盔,Beast Champion Helm
聚獸鎧甲,Beast Champion Armor
聚獸臂甲,Beast Champion Gauntlets
聚獸腿甲,Beast Champion Greaves
聚獸鎧甲（輕裝）,Beast Champion Armor (Altered)
勇者頭帶,Champion Headband
勇者肩甲,Champion Pauldron
勇者臂甲,Champion Bracers
勇者綁腿,Champion Gaiters
暗紅風帽,Crimson Hood
貴族旅行裝,Noble's Traveling Garb
貴族手套,Noble's Gloves
貴族長褲,Noble's Trousers
深藍風帽,Navy Hood
瑪利喀斯頭盔,Maliketh's Helm
瑪利喀斯鎧甲,Maliketh's Armor
瑪利喀斯臂甲,Maliketh's Gauntlets
瑪利喀斯腿甲,Maliketh's Greaves
瑪利喀斯鎧甲（輕裝）,Maliketh's Armor (Altered)
瑪蓮妮亞飛翼頭盔,Malenia's Winged Helm
瑪蓮妮亞鎧甲,Malenia's Armor
瑪蓮妮亞臂甲,Malenia's Gauntlet
瑪蓮妮亞腿甲,Malenia's Greaves
瑪蓮妮亞鎧甲（輕裝）,Malenia's Armor (Altered)
老將頭盔,Veteran's Helm
老將鎧甲,Veteran's Armor
老將臂甲,Veteran's Gauntlets
老將腿甲,Veteran's Greaves
老將鎧甲（輕裝）,Veteran's Armor (Altered)
獵犬騎士頭盔,Bloodhound Knight Helm
獵犬騎士鎧甲,Bloodhound Knight Armor
獵犬騎士臂甲,Bloodhound Knight Gauntlets
獵犬騎士腿甲,Bloodhound Knight Greaves
獵犬騎士鎧甲（輕裝）,Bloodhound Knight Armor (Altered)
慶典風帽,Festive Hood
慶典禮服,Festive Garb
慶典風帽（簡化）,Festive Hood (Altered)
慶典禮服（簡化）,Festive Garb (Altered)
慶典藍風帽,Blue Festive Hood
慶典藍禮服,Blue Festive Garb
居民頭巾,Commoner's Headband
居民上衣,Commoner's Garb
居民鞋子,Commoner's Shoes
居民頭巾（輕裝）,Commoner's Headband (Altered)
居民上衣（輕裝）,Commoner's Garb (Altered)
居民便衣,Commoner's Simple Garb
居民便衣（輕裝）,Commoner's Simple Garb (Altered)
眾使者大頭冠,Envoy Crown
雙賢輝石頭罩,Twinsage Glintstone Crown
雷亞盧卡利亞長袍,Raya Lucarian Robe
魔法師腕套,Sorcerer Manchettes
魔法師綁腿,Sorcerer Leggings
奧利維尼斯輝石頭罩,Olivinus Glintstone Crown
拉茲利輝石頭罩,Lazuli Glintstone Crown
卡勒羅斯輝石頭罩,Karolos Glintstone Crown
魔女輝石頭罩,Witch's Glintstone Crown
人偶兵頭盔,Marionette Soldier Helm
人偶兵鎧甲,Marionette Soldier Armor
人偶兵鳥籠盔,Marionette Soldier Birdhelm
戰鬼頭盔,Raging Wolf Helm
戰鬼鎧甲,Raging Wolf Armor
戰鬼臂甲,Raging Wolf Gauntlets
戰鬼腿甲,Raging Wolf Greaves
戰鬼鎧甲（輕裝）,Raging Wolf Armor (Altered)
蘆葦之地頭盔,Land of Reeds Helm
蘆葦之地鎧甲,Land of Reeds Armor
蘆葦之地臂甲,Land of Reeds Gauntlets
蘆葦之地腿甲,Land of Reeds Greaves
蘆葦之地鎧甲（輕裝）,Land of Reeds Armor (Altered)
老翁面具,Okina Mask
待殮鎧甲,White Reed Armor
待殮臂甲,White Reed Gauntlets
待殮腿甲,White Reed Greaves
密使風帽,Confessor Hood
密使鎧甲,Confessor Armor
密使手套,Confessor Gloves
密使靴子,Confessor Boots
密使風帽（輕裝）,Confessor Hood (Altered)
密使鎧甲（輕裝）,Confessor Armor (Altered)
囚犯鐵面具,Prisoner Iron Mask
囚犯布衣,Prisoner Clothing
囚犯長褲,Prisoner Trousers
流氓鐵面具,Blackguard's Iron Mask
旅行女巫風帽,Traveling Maiden Hood
旅行女巫長袍,Traveling Maiden Robe
旅行女巫手套,Traveling Maiden Gloves
旅行女巫靴子,Traveling Maiden Boots
旅行女巫長袍（輕裝）,Traveling Maiden Robe (Altered)
指頭女巫帽子,Finger Maiden Fillet
指頭女巫長袍,Finger Maiden Robe
指頭女巫鞋子,Finger Maiden Shoes
指頭女巫長袍（輕裝）,Finger Maiden Robe (Altered)
魔法教授大帽子,Preceptor's Big Hat
魔法教授長袍,Preceptor's Long Gown
魔法教授手套,Preceptor's Gloves
魔法教授長褲,Preceptor's Trousers
隱匿面具,Mask of Confidence
魔法教授長袍（輕裝）,Preceptor's Long Gown (Altered)
亡骨面具,Skeletal Mask
猛禽黑羽,Raptor's Black Feathers
盜賊腕套,Bandit Manchettes
盜賊靴子,Bandit Boots
盜賊束腰衣,Bandit Garb
奇異騎士風帽,Eccentric's Hood
奇異騎士鎧甲,Eccentric's Armor
奇異騎士腕套,Eccentric's Manchettes
奇異騎士長褲,Eccentric's Breeches
奇異騎士風帽（輕裝）,Eccentric's Hood (Altered)
指痕頭盔,Fingerprint Helm
指痕鎧甲,Fingerprint Armor
指痕臂甲,Fingerprint Gauntlets
指痕腿甲,Fingerprint Greaves
指痕鎧甲（輕裝）,Fingerprint Armor (Altered)
側室面具,Consort's Mask
側室長袍,Consort's Robe
側室長褲,Consort's Trousers
領主面具,Ruler's Mask
領主長袍,Ruler's Robe
上流階級長袍,Upper-Class Robe
瑪雷家面具,Marais Mask
瑪雷家長袍,Marais Robe
滲血腕套,Bloodsoaked Manchettes
滲血面具,Bloodsoaked Mask
官吏上衣,Official's Attire
忌諱頭盔,Omen Helm
忌諱鎧甲,Omen Armor
忌諱臂甲,Omen Gauntlets
忌諱腿甲,Omen Greaves
卡利亞騎士頭盔,Carian Knight Helm
卡利亞騎士鎧甲,Carian Knight Armor
卡利亞騎士臂甲,Carian Knight Gauntlets
卡利亞騎士腿甲,Carian Knight Greaves
卡利亞騎士鎧甲（輕裝）,Carian Knight Armor (Altered)
亞羅塔斯輝石頭罩,Hierodas Glintstone Crown
離群魔法師長袍,Errant Sorcerer Robe
離群魔法師腕套,Errant Sorcerer Manchettes
離群魔法師靴子,Errant Sorcerer Boots
離群魔法師長袍（輕裝）,Errant Sorcerer Robe (Altered)
海摩輝石頭罩,Haima Glintstone Crown
戰場魔法師長袍,Battlemage Robe
戰場魔法師腕套,Battlemage Manchettes
戰場魔法師綁腿,Battlemage Legwraps
雪魔女尖帽,Snow Witch Hat
雪魔女長袍,Snow Witch Robe
雪魔女長裙,Snow Witch Skirt
雪魔女長袍（輕裝）,Snow Witch Robe (Altered)
旅行上衣,Traveler's Clothes
旅行腕套,Traveler's Manchettes
旅行靴子,Traveler's Boots
年幼學徒帽子,Juvenile Scholar Cap
年幼學徒長袍,Juvenile Scholar Robe
光耀金面具,Radiant Gold Mask
金面具的破布,Goldmask's Rags
金色腕套,Gold Bracelets
金色腰巾,Gold Waistwrap
惡兆妖鬼斗篷,Fell Omen Cloak
白金之子頭罩,Albinauric Mask
骯髒鎖子鎧甲,Dirty Chainmail
薩米爾面具,Zamor Mask
薩米爾鎧甲,Zamor Armor
薩米爾腕套,Zamor Bracelets
薩米爾綁腿,Zamor Legwraps
小惡魔頭罩（貓）,Imp Head (Cat)
小惡魔頭罩（尖牙）,Imp Head (Fanged)
小惡魔頭罩（聳舌）,Imp Head (Long-Tongued)
小惡魔頭罩（長生者）,Imp Head (Corpse)
小惡魔頭罩（狼）,Imp Head (Wolf)
小惡魔頭罩（長老）,Imp Head (Elder)
銀色淚滴面具,Silver Tear Mask
鎖子頭盔,Chain Coif
鎖子鎧甲,Chain Armor
護臂,Gauntlets
鎖子腿甲,Chain Leggings
巨盔,Greathelm
眼眸筒形外衣,Eye Surcoat
大樹筒形外衣,Tree Surcoat
章魚頭罩,Octopus Head
壺頭罩,Jar
蘑菇頭部,Mushroom Head
蘑菇身體,Mushroom Body
蘑菇腕部,Mushroom Arms
蘑菇腿部,Mushroom Legs
諾克斯鏡面盔,Nox Mirrorhelm
伊吉鏡面盔,Iji's Mirrorhelm
黑布風帽,Black Hood
皮革鎧甲,Leather Armor
皮革手套,Leather Gloves
皮革靴子,Leather Boots
盜賊面具,Bandit Mask
騎士頭盔,Knight Helm
騎士鎧甲,Knight Armor
騎士臂甲,Knight Gauntlets
騎士腿甲,Knight Greaves
大風帽,Greathood
葛瑞克士兵頭盔,Godrick Soldier Helm
大樹與野獸筒形外衣,Tree-and-Beast Surcoat
葛瑞克士兵臂甲,Godrick Soldier Gauntlets
葛瑞克士兵腿甲,Godrick Soldier Greaves
雷亞盧卡利亞士兵頭盔,Raya Lucarian Helm
杜鵑筒形外衣,Cuckoo Surcoat
雷亞盧卡利亞士兵臂甲,Raya Lucarian Gauntlets
雷亞盧卡利亞士兵腿甲,Raya Lucarian Greaves
羅德爾士兵頭盔,Leyndell Soldier Helm
黃金樹筒形外衣,Erdtree Surcoat
羅德爾士兵臂甲,Leyndell Soldier Gauntlets
羅德爾士兵腿甲,Leyndell Soldier Greaves
拉塔恩士兵頭盔,Radahn Soldier Helm
紅獅子筒形外衣,Redmane Surcoat
拉塔恩士兵臂甲,Radahn Soldier Gauntlets
拉塔恩士兵腿甲,Radahn Soldier Greaves
靈廟筒形外衣,Mausoleum Surcoat
靈廟士兵臂甲,Mausoleum Gauntlets
靈廟士兵腿甲,Mausoleum Greaves
聖樹士兵頭盔,Haligtree Helm
聖樹圖騰筒形外衣,Haligtree Crest Surcoat
聖樹士兵臂甲,Haligtree Gauntlets
聖樹士兵腿甲,Haligtree Greaves
格密爾騎士頭盔,Gelmir Knight Helm
格密爾騎士鎧甲,Gelmir Knight Armor
格密爾騎士臂甲,Gelmir Knight Gauntlets
格密爾騎士腿甲,Gelmir Knight Greaves
格密爾騎士鎧甲（輕裝）,Gelmir Knight Armor (Altered)
葛瑞克騎士頭盔,Godrick Knight Helm
葛瑞克騎士鎧甲,Godrick Knight Armor
葛瑞克騎士臂甲,Godrick Knight Gauntlets
葛瑞克騎士腿甲,Godrick Knight Greaves
葛瑞克騎士鎧甲（輕裝）,Godrick Knight Armor (Altered)
杜鵑騎士頭盔,Cuckoo Knight Helm
杜鵑騎士鎧甲,Cuckoo Knight Armor
杜鵑騎士臂甲,Cuckoo Knight Gauntlets
杜鵑騎士腿甲,Cuckoo Knight Greaves
杜鵑騎士鎧甲（輕裝）,Cuckoo Knight Armor (Altered)
羅德爾騎士頭盔,Leyndell Knight Helm
羅德爾騎士鎧甲,Leyndell Knight Armor
羅德爾騎士臂甲,Leyndell Knight Gauntlets
羅德爾騎士腿甲,Leyndell Knight Greaves
羅德爾騎士鎧甲（輕裝）,Leyndell Knight Armor (Altered)
紅獅子騎士頭盔,Redmane Knight Helm
紅獅子騎士鎧甲,Redmane Knight Armor
紅獅子騎士臂甲,Redmane Knight Gauntlets
紅獅子騎士腿甲,Redmane Knight Greaves
紅獅子騎士鎧甲（輕裝）,Redmane Knight Armor (Altered)
靈廟騎士鎧甲,Mausoleum Knight Armor
靈廟騎士臂甲,Mausoleum Knight Gauntlets
靈廟騎士腿甲,Mausoleum Knight Greaves
靈廟騎士鎧甲（輕裝）,Mausoleum Knight Armor (Altered)
聖樹騎士頭盔,Haligtree Knight Helm
聖樹騎士鎧甲,Haligtree Knight Armor
聖樹騎士臂甲,Haligtree Knight Gauntlets
聖樹騎士腿甲,Haligtree Knight Greaves
聖樹騎士鎧甲（輕裝）,Haligtree Knight Armor (Altered)
小兵鐵帽,Foot Soldier Cap
鎖子披肩軟鎧甲,Chain-Draped Tabard
小兵臂甲,Foot Soldier Gauntlets
小兵腿甲,Foot Soldier Greaves
小兵鐵頭盔,Foot Soldier Helmet
小兵軟鎧甲,Foot Soldier Tabard
小兵金帽,Gilded Foot Soldier Cap
皮革披肩軟鎧甲,Leather-Draped Tabard
小兵頭盔,Foot Soldier Helm
猩紅軟鎧甲,Scarlet Tabard
淌血軟鎧甲,Bloodsoaked Tabard
聖冠鐵頭盔,Sacred Crown Helm
象牙披肩軟鎧甲,Ivory-Draped Tabard
惡兆笑臉面具,Omensmirk Mask
惡兆獵人長袍,Omenkiller Robe
惡兆獵人長手套,Omenkiller Long Gloves
惡兆獵人靴子,Omenkiller Boots
戰灰糞金龜,Ash-of-War Scarab
禱告糞金龜,Incantation Scarab
輝石糞金龜,Glintstone Scarab
紅露滴糞金龜,Crimson Tear Scarab
藍露滴糞金龜,Cerulean Tear Scarab
死眠連身裙,Deathbed Dress
死眠長褲,Deathbed Smalls
菲雅風帽,Fia's Hood
菲雅長袍,Fia's Robe
菲雅長袍（輕裝）,Fia's Robe (Altered)
強盜風帽,Highwayman Hood
強盜軟鎧甲,Highwayman Cloth Armor
強盜臂甲,Highwayman Gauntlets
上流隨從風帽,High Page Hood
上流隨從上衣,High Page Clothes
上流隨從上衣（輕裝）,High Page Clothes (Altered)
腐敗鬥士頭盔,Rotten Duelist Helm
腐敗守墓斗篷,Rotten Gravekeeper Cloak
腐敗鬥士腿甲,Rotten Duelist Greaves
腐敗守墓斗篷（輕裝）,Rotten Gravekeeper Cloak (Altered)
蘑菇王冠,Mushroom Crown
黑頭罩,Black Dumpling
拉茲利長袍,Lazuli Robe
