zh,en
英雄的紅狼,Red Wolf of the Champion
龍裝大樹守衛,Draconic Tree Sentinel
大樹守衛,Tree Sentinel
「聖樹騎士」羅蕾塔,"Loretta, Knight of the Haligtree"
禁衛騎士羅蕾塔,Royal Knight Loretta
諾克斯修士,Nox Priest
諾克斯劍士,Nox Swordstress
仿身淚滴,Mimic Tear
離群仿身淚滴,Stray Mimic Tear
結晶人（手杖）,Crystalian (Staff)
結晶人（矛）,Crystalian (Spear)
腐敗結晶人（圓刃刀）,Putrid Crystalian (Ringblade)
腐敗結晶人（矛）,Putrid Crystalian (Spear)
腐敗結晶人（手杖）,Putrid Crystalian (Staff)
結晶人,Crystalian
結晶人（圓刃刀）,Crystalian (Ringblade)
守墓鬥士,Grave Warden Duelist
腐敗守墓鬥士,Putrid Grave Warden Duelist
發狂鬥士,Frenzied Duelist
片鱗混種,Scaly Misbegotten
混種戰士,Misbegotten Warrior
混種聖騎士,Misbegotten Crusader
獅子混種,Leonine Misbegotten
神皮使徒,Godskin Apostle
神皮貴族,Godskin Noble
神皮雙人組,Godskin Duo
石膚黑王,Onyx Lord
墓地影子,Cemetery Shade
調香師托莉夏,Perfumer Tricia
戰場魔法師猶格,Battlemage Hugues
瑪蓮妮亞的尊腐騎士,Cleanrot Knight
瑪蓮妮亞的尊腐騎士（矛）,Cleanrot Knight (Spear)
瑪蓮妮亞的尊腐騎士（鐮刀）,Cleanrot Knight (Sickle)
腐敗眷屬,Kindred of Rot
法姆‧亞茲拉的獸人,Beastman of Farum Azula
法姆‧亞茲拉的獸人（大刀）,Beastman of Farum Azula (Greatsword)
法姆‧亞茲拉的獸人（投擲刀）,Beastman of Farum Azula (Throwing Knife)
王室幽魂,Royal Revenant
亞人首領,Demi-Human Chief
「亞人女王」瑪格,Demi-Human Queen Margot
「亞人女王」姬麗卡,Demi-Human Queen Gilika
「亞人女王」瑪姬,Demi-Human Queen Maggie
喚靈蝸牛,Spiritcaller Snail
歸樹看門犬,Erdtree Burial Watchdog
歸樹看門犬（劍）,Erdtree Burial Watchdog (Sword)
歸樹看門犬（杖）,Erdtree Burial Watchdog (Scepter)
獵犬騎士,Bloodhound Knight
「獵犬騎士」達瑞威爾,Bloodhound Knight Darriwil
葛瑞克的士兵,Soldier of Godrick
發狂南瓜頭士兵,Mad Pumpkin Head
發狂南瓜頭士兵（槌）,Mad Pumpkin Head (Hammer)
發狂南瓜頭士兵（連枷）,Mad Pumpkin Head (Flail)
擄人少女人偶（擺盪鐮刀）,Abductor Virgin (Swinging Sickle)
擄人少女人偶（刺輪）,Abductor Virgin (Wheel)
「病花」米蘭達,Miranda the Blighted Bloom
米蘭達之花,Miranda Blossom
「飛龍」亞基爾,Flying Dragon Agheel
「飛龍」桂雷爾,Flying Dragon Greyll
「步入腐敗」艾格基斯,Decaying Ekzykes
「輝石龍」史瑪拉格,Glintstone Dragon Smarag
「輝石龍」亞杜拉,Glintstone Dragon Adula
「凍結冰霧」玻列琉斯,Borealis the Freezing Fog
「死龍」弗爾桑克斯,Lichdragon Fortissax
「古龍」蘭斯桑克斯,Ancient Dragon Lansseax
「龍王」普拉頓桑克斯,Dragonlord Placidusax
蚯蚓臉,Wormface
挖石山妖,Stonedigger Troll
「卡利亞騎士」波爾斯,"Bols, Carian Knight"
「黑暗棄子」艾絲緹,"Astel, Naturalborn of the Void"
「黑暗繁星」艾絲緹,"Astel, Stars of Darkness"
盧恩熊,Runebear
腐爛樹靈,Ulcerated Tree Spirit
腐敗樹靈,Putrid Tree Spirit
諾克史黛拉的龍人士兵,Dragonkin Soldier of Nokstella
龍人士兵,Dragonkin Soldier
魔像守衛,Guardian Golem
祖靈,Ancestor Spirit
祖靈之王,Regal Ancestor Spirit
墜星獸物,Fallingstar Beast
墜星成獸,Full-Grown Fallingstar Beast
「接肢」貴族後裔,Grafted Scion
噬神大蛇,God-Devouring Serpent
「褻瀆君王」拉卡德,"Rykard, Lord of Blasphemy"
「初始之王」葛孚雷,"Godfrey, First Elden Lord"
戰士荷萊‧露,"Hoarah Loux, Warrior"
「碎星」拉塔恩,Starscourge Radahn
「接肢」葛瑞克,Godrick the Grafted
「接肢」葛孚亞,Godefroy the Grafted
火焰巨人,Fire Giant
英雄石像鬼,Valiant Gargoyle
英雄石像鬼（雙頭劍）,Valiant Gargoyle (Twinblade)
黑劍眷屬,Black Blade Kindred
「鮮血君王」蒙格,"Mohg, Lord of Blood"
「惡兆之子」蒙格,"Mohg, the Omen"
黃金樹的化身,Erdtree Avatar
腐敗化身,Putrid Avatar
惡兆獵人,Omenkiller
「熔岩土龍」馬卡爾,Magma Wyrm Makar
熔岩土龍,Magma Wyrm
「大土龍」席歐朵利克,Great Wyrm Theodorix
提比亞的喚聲船,Tibia Mariner
死亡儀式鳥,Death Rite Bird
死之鳥,Deathbird
薩米爾的古英雄,Ancient Hero of Zamor
