zh,en
耶羅‧亞尼斯坑道,Yelough Anix Tunnel
寧姆格福神授塔,Divine Tower of Limgrave
卡利亞書齋,Carian Study Hall
利耶尼亞神授塔,Divine Tower of Liurnia
封印坑道,Sealed Tunnel
西亞壇神授塔,Divine Tower of West Altus
蓋利德神授塔,Divine Tower of Caelid
東亞壇神授塔,Divine Tower of East Altus
孤立神授塔,Isolated Divine Tower
棄置惡兆的地底,Subterranean Shunning-Grounds
羅德爾地下墓地,Leyndell Catacombs
古遺跡斷崖,Ruin-Strewn Precipice
寧姆格福,Limgrave
風暴山丘,Stormhill
啜泣半島,Weeping Peninsula
湖之利耶尼亞,Liurnia of the Lakes
彼魯姆大道,Bellum Highway
月光祭壇,Moonlight Altar
亞壇高原,Altus Plateau
格密爾火山,Mt. Gelmir
王城外圍,Capital Outskirts
禁域,Forbidden Lands
蓋利德,Caelid
桂奧爾龍墓,Greyoll's Dragonbarrow
艾奧尼亞沼澤,Swamp of Aeonia
巨人山頂,Mountaintops of the Giants
火焰之巔,Flame Peak
化聖雪原,Consecrated Snowfield
「接肢」葛瑞克,Godrick the Grafted
「惡兆妖鬼」瑪爾基特,"Margit, the Fell Omen"
通城隧道,Castleward Tunnel
門旁小屋,Gateside Chamber
史東薇爾斷崖,Stormveil Cliffside
城牆塔,Rampart Tower
升降機旁房間,Liftside Chamber
深處小房間,Secluded Cell
史東薇爾正門,Stormveil Main Gate
艾爾登寶座,Elden Throne
黃金樹大教堂,Erdtree Sanctuary
王城東邊城牆,East Capital Rampart
王城底層教堂,Lower Capital Church
大道旁露台,Avenue Balcony
王城西邊城牆,West Capital Rampart
女王閨閣,Queen's Bedchamber
城寨一樓,"Fortified Manor, First Floor"
神授橋,Divine Bridge
火山官邸的委託：巴格萊姆,Volcano Manor Request: Vargram
「灰燼王城」羅德爾,"Leyndell, Capital of Ash"
大賜福,Table of Lost Grace
諾克史黛拉的龍人士兵,Dragonkin Soldier of Nokstella
安瑟爾河（井底）,Ainsel River Well Depths
安瑟爾河（水門）,Ainsel River Sluice Gate
安瑟爾河（下游）,Ainsel River Downstream
「永恆之城」諾克史黛拉,"Nokstella, Eternal City"
腐敗湖畔,Lake of Rot Shoreside
大迴廊,Grand Cloister
諾克史黛拉水潭,Nokstella Waterfall Basin
大瀑布水潭,Great Waterfall Basin
仿身淚滴,Mimic Tear
希芙拉河（岸邊）,Siofra River Bank
信仰者森林,Worshippers' Woods
祖靈森林,Ancestral Woods
導水橋旁斷崖,Aqueduct-Facing Cliffs
黑夜神域,Night's Sacred Ground
出口井的下方,Below the Well
死王子寶座,Prince of Death's Throne
樹根旁斷崖,Root-Facing Cliffs
大瀑布頂端,Great Waterfall Crest
無名永恆之城,The Nameless Eternal City
樹根前路,Across the Roots
「黑暗棄子」艾絲緹,"Astel, Naturalborn of the Void"
神人墜眠之繭,Cocoon of the Empyrean
通往王朝的崖上道路,Palace Approach Ledge-Road
王朝靈廟（入口）,Dynasty Mausoleum Entrance
王朝靈廟（中段）,Dynasty Mausoleum Midpoint
希芙拉河（井底）,Siofra River Well Depths
「黑劍」瑪利喀斯,"Maliketh, the Black Blade"
「龍王」普拉頓桑克斯,Dragonlord Placidusax
龍教堂祭壇,Dragon Temple Altar
漸毀野獸墓,Crumbling Beast Grave
漸毀野獸墓（深處）,Crumbling Beast Grave Depths
龍捲旁露台,Tempest-Facing Balcony
龍教堂,Dragon Temple
龍教堂（耳堂）,Dragon Temple Transept
龍教堂（升降機前）,Dragon Temple Lift
龍教堂（屋頂）,Dragon Temple Rooftop
大橋側邊,Beside the Great Bridge
雷亞盧卡利亞大書庫,Raya Lucaria Grand Library
討論室,Debate Parlor
杜鵑教堂,Church of the Cuckoo
校舍內的教室,Schoolhouse Classroom
「腐敗女神」瑪蓮妮亞,"Malenia, Goddess of Rot"
祈禱室,Prayer Room
艾布雷菲爾城牆內部,Elphael Inner Wall
排水通道,Drainage Channel
聖樹底層,Haligtree Roots
聖樹大舞台,Haligtree Promenade
聖樹樹冠,Haligtree Canopy
聖樹鎮,Haligtree Town
聖樹鎮（廣場）,Haligtree Town Plaza
「褻瀆君王」拉卡德,"Rykard, Lord of Blasphemy"
艾格蕾教堂,Temple of Eiglay
牢鎮教堂,Prison Town Church
迎賓廳,Guest Hall
謁見之路,Audience Pathway
擄人少女人偶,Abductor Virgin
地底拷問所,Subterranean Inquisition Chamber
求學洞窟,Cave of Knowledge
瀕毀瑪莉卡,Fractured Marika
蓋爾坑道（側門口）,Rear Gael Tunnel Entrance
寧姆格福神授塔（橋上）,Limgrave Tower Bridge
書齋入口,Study Hall Entrance
利耶尼亞神授塔（橋上）,Liurnia Tower Bridge
西亞壇神授塔（門口）,Divine Tower of West Altus: Gate
蓋利德神授塔（地底）,Divine Tower of Caelid: Basement
蓋利德神授塔（中段）,Divine Tower of Caelid: Center
東亞壇神授塔（門口）,Divine Tower of East Altus: Gate
前往洛德的中途,The Rold Route
棄置惡兆的大教堂,Cathedral of the Forsaken
地底大道旁,Underground Roadside
棄置惡兆的底層,Forsaken Depths
癲火封印,Frenzied Flame Proscription
熔岩土龍,Magma Wyrm
古遺跡斷崖（對岸）,Ruin-Strewn Precipice Overlook
火山官邸的委託：忒拉格斯,Volcano Manor Request: Tragoth
艾雷教堂,Church of Elleh
風暴山丘的破屋,Stormhill Shack
畫家的破屋,Artist's Shack
瑪莉卡第三教堂,Third Church of Marika
海德要塞西方,Fort Haight West
亞基爾湖南方,Agheel Lake South
亞基爾湖北方,Agheel Lake North
龍饗教堂,Church of Dragon Communion
關卡前方,Gatefront
橋尾花園,Garden Beyond the Bridge
傍海古遺跡,Seaside Ruins
霧林邊緣,Mistwood Outskirts
霧林,Mistwood
濛流岸邊,Murkwater Coast
聖人橋,Saintsbridge
水喚村外,Summonwater Village Outskirts
習戰者的破屋,Warmaster's Shack
驛站街遺跡的地下室,Waypoint Ruins Cellar
引導之始,The First Step
瑪莉卡第四教堂,Fourth Church of Marika
摩恩城（城牆前方）,Castle Morne Rampart
靈廟原野,Tombsward
監視塔的南方,South of the Lookout Tower
病村外,Ailing Village Outskirts
地坑旁,Beside the Crater-Pocked Glade
隱居商人的破屋,Isolated Merchant's Shack
獻祭大橋,Bridge of Sacrifice
摩恩城（升降機前方）,Castle Morne Lift
城堡後方,Behind the Castle
城牆監牢旁,Beside the Rampart Gaol
摩恩悲嘆墓,Morne Moangrave
巡禮教堂,Church of Pilgrimage
傍湖斷崖,Lake-Facing Cliffs
利耶尼亞湖（湖邊）,Liurnia Lake Shore
拉斯卡廢墟,Laskyar Ruins
遠眺島,Scenic Isle
學院門前鎮,Academy Gate Town
學院正門口,Main Academy Gate
雷亞盧卡利亞（東門）,East Raya Lucaria Gate
彼魯姆教堂,Bellum Church
迪可達斯大升降機,Grand Lift of Dectus
四鐘樓山腳,Foot of the Four Belfries
魔法師塔的小島,Sorcerer's Isle
利耶尼亞湖（北岸）,Northern Liurnia Lake Shore
通往城寨的道路,Road to the Manor
卡利亞城寨（正門）,Main Caria Manor Gate
眠狼的破屋,Slumbering Wolf's Shack
煮蝦子的破屋,Boilprawn Shack
復仇者的破屋,Revenger's Shack
湖畔涼亭,Folly on the Lake
白金村,Village of the Albinaurics
利耶尼亞大道（北方）,Liurnia Highway North
門前鎮大橋,Gate Town Bridge
利耶尼亞湖（東岸）,Eastern Liurnia Lake Shore
結緣教堂,Church of Vows
遺跡迷宮,Ruined Labyrinth
群集靈廟,Mausoleum Compound
四鐘樓,The Four Belfries
菈妮魔法師塔,Ranni's Rise
谷底祕村,Ravine-Veiled Village
城寨上部,Manor Upper Level
城寨下部,Manor Lower Level
王室賞月地,Royal Moongazing Grounds
門前鎮的北方,Gate Town North
東邊台地,Eastern Tableland
谷底,The Ravine
湖中墜落遺跡,Fallen Ruins of the Lake
改宗塔,Converted Tower
卡利亞城寨（後方）,Behind Caria Manor
癲火村外,Frenzied Flame Village Outskirts
鎮靜教堂,Church of Inhibition
教堂區,Temple Quarter
東門橋的橋柱,East Gate Bridge Trestle
結晶森林,Crystalline Woods
利耶尼亞大道（南方）,Liurnia Highway South
壺村,Jarburg
雷亞盧卡利亞（南門）,South Raya Lucaria Gate
菈妮的房間,Ranni's Chamber
瑪努斯‧瑟利斯大教堂,Cathedral of Manus Celes
祭壇南方,Altar South
近黃金樹的山丘,Erdtree-Gazing Hill
風車村,Windmill Village
小黃金樹教堂,Minor Erdtree Church
亞壇大道的三叉口,Altus Highway Junction
城牆旁小徑,Rampartside Path
遁世商人的破屋,Hermit Merchant's Shack
移送罪人之路（路旁）,Road of Iniquity Side Path
穿林大橋,Forest-Spanning Greatbridge
棄置棺材,Abandoned Coffin
豐饒森林,Bower of Bounty
城外幻影樹,Outer Wall Phantom Tree
城外戰場遺跡,Outer Wall Battleground
風車村高台,Windmill Heights
王城城牆前方,Capital Rampart
城主大廳,Castellan's Hall
日蔭城（城牆）,Shaded Castle Ramparts
日蔭城（內門）,Shaded Castle Inner Gate
罪人橋,Bridge of Iniquity
格密爾火山（第９休息站）,Ninth Mt. Gelmir Campsite
格密爾火山（第１休息站）,First Mt. Gelmir Campsite
移送罪人之路,Road of Iniquity
沸滾河,Seethewater River
沸滾河終點,Seethewater Terminus
匠人的破屋,Craftsman's Shack
「起源魔法師」亞茲勒,Primeval Sorcerer Azur
燻火教堂,Smoldering Church
腐敗旁露台,Rotview Balcony
大龍饗教堂,Cathedral of Dragon Communion
燻燒火牆,Smoldering Wall
希芙拉河的出口井,Deep Siofra Well
奇列姆廢墟,Caelem Ruins
艾奧尼亞中心地,Heart of Aeonia
瑟利亞椅子廟,Chair-Crypt of Sellia
不破大橋,Impassable Greatbridge
紅獅子城（廣場）,Redmane Castle Plaza
廣場前房間,Chamber Outside the Plaza
蓋爾要塞北方,Fort Gael North
「碎星」拉塔恩,Starscourge Radahn
艾奧尼亞沼澤（岸邊）,Aeonia Swamp Shore
艾奧尼亞沼澤（南岸）,Southern Aeonia Swamp Bank
瑟利亞鎮（樓梯下方）,Sellia Under-Stair
腐敗病教堂,Church of the Plague
蓋利德大道南方,Caelid Highway South
龍墓西方,Dragonbarrow West
法洛斯要塞,Fort Faroth
龍墓的岔路,Dragonbarrow Fork
雷恩魔法師塔,Lenne's Rise
法姆大橋,Farum Greatbridge
野獸神殿,Bestial Sanctum
蓋利德大道北方（偏離大道後）,Astray from Caelid Highway North
艾奧尼亞沼澤（深處）,Inner Aeonia
瑟利亞鎮後側,Sellia Backstreets
薩米爾廢墟,Zamor Ruins
古遺跡降雪谷,Ancient Snow Valley Ruins
結冰湖,Freezing Lake
瑪莉卡第一教堂,First Church of Marika
巨人墓碑,Giants' Gravepost
安歇教堂,Church of Repose
火焰大鍋下方,Foot of the Forge
火焰巨人,Fire Giant
巨人火焰大鍋,Forge of the Giants
洛德大升降機,Grand Lift of Rold
降雪稜線路,Whiteridge Road
古遺跡山谷的山崖上,Snow Valley Ruins Overlook
索爾城（正門）,Castle Sol Main Gate
日蝕教堂,Church of the Eclipse
索爾城（屋頂）,Castle Sol Rooftop
化聖雪原（深處）,Inner Consecrated Snowfield
「儀典鎮」奧緹那,"Ordina, Liturgical Town"
離教廢屋,Apostate Derelict
霧林廢墟,Mistwood Ruins
驛站街遺跡,Waypoint Ruins
龍息廢墟,Dragon-Burnt Ruins
關卡前廢墟,Gatefront Ruins
水喚村,Summonwater Village
無主獵犬的封印監牢,Forlorn Hound Evergaol
風暴山丘的封印監牢,Stormhill Evergaol
風暴關卡,Stormgate
希芙拉河的入口井,Siofra River Well
海德要塞,Fort Haight
小黃金樹,Minor Erdtree
亞基爾湖,Agheel Lake
傳送門,Sending Gate
火山官邸的委託：伊修托邦,Volcano Manor Request: Istvan
卡爾洗禮教堂,Callu Baptismal Church
封印魔女的廢墟,Witchbane Ruins
靈廟原野的廢墟,Tombsward Ruins
亞人森林的廢墟,Demi-Human Forest Ruins
病村,Ailing Village
森林監視塔,Forest Lookout Tower
歸還塔,Tower of Return
啜泣的封印監牢,Weeping Evergaol
奧利緹斯魔法師塔,Oridys's Rise
摩恩城,Castle Morne
兀德王朝遺跡,Uld Palace Ruins
三姊妹塔,Three Sisters
伊利斯教堂,Church of Irith
薔薇教堂,Rose Church
受淨化的廢墟,Purified Ruins
王室領地廢墟,Kingsrealm Ruins
癲火村,Frenzied Flame Village
大道監視塔,Highway Lookout Tower
癲火燈塔,Frenzy-Flaming Tower
小偷的封印監牢,Malefactor's Evergaol
杜鵑的封印監牢,Cuckoo's Evergaol
王室墓地的封印監牢,Royal Grave Evergaol
安瑟爾河的入口井,Ainsel River Well
賽爾維斯魔法師塔,Seluvis's Rise
蕾娜魔法師塔,Renna's Rise
改宗邊境塔,Converted Fringe Tower
卡利亞城寨,Caria Manor
月之民廢墟,Moonfolk Ruins
月之貴族廢墟,Lunar Estate Ruins
刀之首的封印監牢,Ringleader's Evergaol
安瑟爾河的出口井,Deep Ainsel Well
希耶羅那魔法師塔,Chelona's Rise
喚雷教堂,Stormcaller Church
瑪莉卡第二教堂,Second Church of Marika
森林之民的廢墟,Woodfolk Ruins
盧克斯廢墟,Lux Ruins
調香師的廢墟,Perfumer's Ruins
蠕血廢墟,Writheblood Ruins
托莉娜的藏身所,St. Trina's Hideaway
風車村多明努拉,"Dominula, Windmill Village"
黃金一族的封印監牢,Golden Lineage Evergaol
王城城牆外,Capital Outskirts
海市蜃樓魔法師塔,Mirage Rise
西邊風車牧場,West Windmill Pasture
東邊風車牧場,East Windmill Pasture
村內風車牧場,Village Windmill Pasture
多明努拉關卡,Dominula Checkpoint
日蔭城,The Shaded Castle
火山官邸的委託：萊利,Volcano Manor Request: Rileigh
威達姆廢墟,Wyndham Ruins
飄屍臭的破屋,Corpse-Stench Shack
遁世者的破屋,Hermit's Shack
遁世者村,Hermit Village
萊多要塞,Fort Laiedd
慟哭沙丘,Wailing Dunes
荒廢廢墟,Forsaken Ruins
蓋利德的驛站街遺跡,Caelid Waypoint Ruins
賢者鎮的廢墟,Street of Sages Ruins
步入腐敗者的破屋,Shack of the Rotting
格威的破屋,Gowry's Shack
沼澤監視塔,Swamp Lookout Tower
瑟利亞關卡,Sellia Gateway
蓋爾要塞,Fort Gael
紅獅子城,Redmane Castle
魔法鎮瑟利亞,"Sellia, Town of Sorcery"
瑟利亞的封印監牢,Sellia Evergaol
觀星廢墟,Stargazers' Ruins
離群獨行者的破屋,Shack of the Lofty
準王者的封印監牢,Lord Contender's Evergaol
異端魔法師塔,Heretical Rise
監視者要塞,Guardians' Garrison
索爾城,Castle Sol
火山官邸的委託：尤諾‧霍斯勞,Volcano Manor Request: Juno Hoslow
耶羅‧亞尼斯廢墟,Yelough Anix Ruins
白金魔法師塔,Albinauric Rise
烏魯王朝遺跡,Uhl Palace Ruins
希芙拉導水橋,Siofra Aqueduct
角骸靈地,Hallowhorn Grounds
蒙格溫王朝廟,Mohgwyn Dynasty Mausoleum
利耶尼亞,Liurnia
迪涅布雷地區,Tenebrae Demesne
